STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV,OTHERS,QUARTER,YEAR,All Sky Surface Total PAR (MJ/m^2/day),All Sky Surface UV Index (W m-2 x 40),deg Cloud Amount (%),Surface Soil Wetness (1),Precipitation Corrected (mm/day),Surface Pressure (kPa),Specific Humidity at 2 Meters (g/kg),Temperature at 2 Meters (C),Dew/Frost Point at 2 Meters (C),Earth Skin Temperature (C),Wind Direction at 2 Meters (Degrees),Wind Speed at 10 Meters Range (m/s),Wind Speed at 2 Meters (m/s),CAUSE_SUM,CAUSE_RATE,lat,lon
NIGER,27,80,3,110,347,91,438,653,102,0,1,1,4,0,0,4,0,0,8,1,1,0,0,0,4,0,Q4,2020,9.086666666666666,1.8733333333333333,36.14666666666667,0.4566666666666666,1.32,99.60333333333334,13.966666666666669,27.036666666666665,18.80333333333333,27.45,91.5,2.4166666666666665,1.356666666666667,548,4.9818181818181815,9.0819,6.019
OGUN,59,160,60,279,548,83,631,1678,254,0,22,10,28,4,1,12,20,1,13,6,0,0,0,0,2,4,Q4,2020,8.12,1.72,58.876666666666665,0.7933333333333333,2.453333333333333,100.04666666666668,18.166666666666668,26.0,23.433333333333334,26.126666666666665,214.76666666666665,1.4366666666666663,0.8666666666666667,910,3.261648745519713,6.998,3.4737
ONDO,49,56,9,114,320,84,404,899,107,0,7,3,3,0,0,14,13,1,4,1,1,0,0,1,0,0,Q4,2020,8.216666666666667,1.7466666666666668,58.60333333333333,0.8233333333333333,2.6366666666666667,96.82666666666668,16.62,24.676666666666662,21.41,24.546666666666667,172.26666666666665,1.9266666666666667,1.0,518,4.543859649122807,7.2508,5.2103
OSUN,34,65,10,109,292,52,344,711,93,0,11,5,3,2,0,8,10,2,7,1,1,0,0,0,0,0,Q4,2020,8.15,1.7233333333333334,59.423333333333325,0.86,2.7099999999999995,98.17333333333332,17.276666666666667,25.266666666666666,22.266666666666666,25.126666666666665,170.06666666666666,1.47,0.7366666666666667,453,4.155963302752293,7.5629,4.52
OYO,41,89,25,155,385,68,453,1120,128,1,15,5,14,1,0,14,18,1,6,0,2,0,0,4,0,0,Q4,2020,8.166666666666666,1.71,54.196666666666665,0.7666666666666666,2.356666666666667,97.88,16.349999999999998,25.293333333333333,21.28,25.19,142.20000000000002,2.263333333333333,1.2,608,3.92258064516129,7.85,3.933
PLATEAU,8,20,17,45,123,17,140,255,18,0,2,3,9,0,0,3,7,0,0,0,0,2,0,0,1,3,Q4,2020,9.55,2.046666666666667,28.776666666666667,0.4599999999999999,0.5033333333333333,95.14666666666666,10.393333333333333,25.706666666666667,12.756666666666666,25.99,54.36666666666667,3.3666666666666667,2.513333333333333,185,4.111111111111111,9.2182,9.517
RIVERS,3,18,4,25,77,6,83,194,19,0,2,1,3,0,0,0,0,0,2,0,0,0,0,0,2,0,Q4,2020,7.239999999999999,1.6333333333333335,76.38666666666667,0.93,6.640000000000001,100.76333333333332,18.61,26.19666666666667,23.97666666666667,26.156666666666663,237.4,1.3633333333333333,0.7133333333333334,108,4.32,4.8156,7.0498
SOKOTO,12,20,0,32,138,47,185,228,49,0,0,0,0,2,0,2,2,0,1,4,0,0,0,0,0,0,Q4,2020,9.593333333333334,1.9433333333333331,16.25,0.5233333333333333,0.4366666666666667,98.03333333333336,11.503333333333332,23.3,15.116666666666667,22.676666666666662,92.36666666666667,2.7566666666666664,1.7966666666666669,217,6.78125,13.0059,5.2476
TARABA,5,53,1,59,149,7,156,284,57,0,2,1,0,1,0,4,7,0,3,0,5,0,0,0,12,0,Q4,2020,9.686666666666666,2.0933333333333333,33.73,0.46,1.5099999999999998,98.18,12.07,26.1,15.893333333333333,26.116666666666664,93.4,3.04,1.87,215,3.6440677966101696,8.8904,11.363
YOBE,24,30,2,56,383,60,443,602,28,0,9,1,0,2,0,7,5,0,1,0,0,0,0,0,0,0,Q4,2020,9.743333333333334,1.9833333333333332,20.616666666666664,0.25,0.3699999999999999,96.89,8.216666666666667,24.87,9.296666666666669,25.30666666666667,53.06666666666667,2.686666666666666,1.82,499,8.910714285714286,12.0,11.5
